Företagsnamn,Organisationsnummer,Telefonnummer,Adress
"Comotion AB","556679-2288","0431-41 03 61","Östergatan, 22, 262 31 Ängelholm"
"Relativt AB","559401-7690","031-29 05 13","Korsgatan 13, 411 16 Göteborg"
"Spotlight Communications AB","556650-9880","08-586 104 00","David Bagares Gata 3, 111 38 Stockholm"
"Digiwise AB","559107-9594","021-18 20 00","Kopparbergsvägen 6, 722 13 Västerås"
"Media4you Sverige AB","556984-9952","","Norra Vägen 18, 392 49 Kalmar"
"Graphoteket Aktiebolag","556425-5825","0451-319 50","Bäckhagsvägen 11B, 28133 Hässleholm"
"We Are Haus AB","556907-4627","021-444 04 00","Sigurdsgatan 23, 721 30 Västerås"
"Oas Reklam i Jönköping AB","556822-2524","073-395 37 07","Datorgatan 4, 561 33 Huskvarna"
"ENA AB","559036-9657","010-555 87 76","Boden"
"UC AB","556137-5113","08-670 90 00","Klarabergsviadukten 63, 111 64 Stockholm"
"Smart Media Lab Sverige AB","559204-8069","",""
"Svensk Direktreklam i Hälsingland","556801-3220","0650-59 09 90","Tegelbruksvägen 26, 821 43 Bollnäs"
"Leadlabbet","559497-6325","+46 76 692 01 05","WARFVINGES VÄG 31, 112 51 Stockholm"
"Rsp Media AB","559029-5480","070-890 05 67","Långgatan 36, 57436 Vetlanda"
"FabriQen Group AB","556286-1491","0586-307 30","Skogsbovägen 21, 69147 Karlskoga"
"Sweden Eventcenter (SEC AB)","556873-1243","08-551 106 66","Fagerstagatan 6, 16353 Spånga"
"Centrumkanalen AB","556880-5153","031-757 29 00","Stigbergsliden 5, 414 63 Göteborg"
"The We Select Company AB","556841-1671","08-664 20 20","KORGMAKARGRÄND 6, 111 22 Stockholm"
"ADINQ AB","556774-2183","033-722 24 00",""
"Most Studios AB","556985-9845","+","Skeppsbron 16, 111 30 Stockholm"
"Svensk Mediabevakning AB","556753-9100","035-710 80 19","Skolgatan 8, 302 32 HALMSTAD"
"Cityreklam Sverige AB","559375-0085","070-972 00 32","Rehnsgatan 5, 113 57 Stockholm"
"Testmottagningen","556983-2750","08-14 24 49","Själagårdsgatan 9, 11131 Stockholm"
"Boneo AB","559201-4798","08-446 02 88","Malmskillnadsgatan 29, 11157 Stockholm"
"Proservitio AB","559107-1583","073-671 91 68","Kanalvägen 6, 19461 Upplands Väsby"
"Convertor Svenska AB","556786-8707","040-685 93 90","Nordenskiöldsgatan 24, 211 19 Malmö"
"RiseRank AB","559177-2875","","Textilgatan 43, 120 30 Stockholm"
"Cashleads Media AB","559205-5916","","SURBRUNNSGATAN 12, 114 27 Stockholm"
"Bright Mind Agency AB","559100-6654","036-550 59 00","Huskvarnavägen 82, 554 66 Jönköping"
"Boostr Jönköping AB","559134-0103","073-395 37 07","Datorgatan 4, 561 33 Huskvarna"
